Year,Food Vehicle,Food Vehicle Trimmed,Weight,State,FIPS,Illnesses,Hospitalizations,Deaths,IllnessesWeighted,Level 1,Level 2,Level 3
2009,cookies,cookies,1,Minnesota,27,21,0,0,21,Bakery,Pastries,Cookies
2009,"salad, unspecified","salad, unspecified",1,Minnesota,27,7,0,0,7,Plant Origin,General Salads,General Salad
2009,mushrooms,mushrooms,0.333333333,Minnesota,27,22,1,0,7.333333333,Plant Origin,Vegetables,Mushrooms
2009,vegetables,vegetables,1,Minnesota,27,16,0,0,16,Plant Origin,Vegetables,Unspecified Greens
2009,"lettuce, unspecified","lettuce, unspecified",1,Minnesota,27,11,2,0,11,Plant Origin,Vegetables,Lettuce
2009,"rice, white","rice, white",1,Alabama,1,13,0,0,13,Plant Origin,Beans,Rice
2009,"cake, chocolate","cake, chocolate",1,Illinois,17,26,1,0,26,Bakery,Pastries,Cake
2009,chicken salad,chicken salad,1,Illinois,17,22,1,0,22,Animal Origin,Meat - Poultry,Chicken
2009,"milk, whole milk unpasteurized","milk, whole milk unpasteurized",1,Pennsylvania,42,9,1,0,9,Animal Origin,"Cheese, Milk & Butter",Milk
2009,cake,cake,1,Tennessee,47,8,1,0,8,Bakery,Pastries,Cake
2009,"oysters, raw","oysters, raw",1,Tennessee,47,9,0,0,9,Animal Origin,Meat - Acquatic,Oysters
2009,multiple foods,multiple foods,1,New York,36,96,0,0,96,Miscellaneous,Miscellaneous,Non-Identifiable
2009,"ground beef, hamburger","ground beef, hamburger",1,Massachusetts,25,3,2,0,3,Animal Origin,Meat - Cattle & Wild,Beef
2009,salads,salads,0.333333333,Massachusetts,25,32,0,0,10.66666667,Plant Origin,General Salads,General Salad
2009,"burrito, chicken","burrito, chicken",1,Michigan,26,15,0,0,15,Animal Origin,Meat - Poultry,Chicken
2009,lettuce,lettuce,1,New York,36,24,0,0,24,Plant Origin,Vegetables,Lettuce
2009,"oysters, raw","oysters, raw",1,Tennessee,47,22,4,0,22,Animal Origin,Meat - Acquatic,Oysters
2009,"ground beef, other","ground beef, other",1,New York,36,6,0,0,6,Animal Origin,Meat - Cattle & Wild,Beef
2009,"sandwich, wrap","sandwich, wrap",0.5,Florida,12,24,0,0,12,Bakery,Bread & Pizza,Bread
2009,"ground beef, gravy, toast, egg dish","ground beef, gravy, toast, egg dish",1,New York,36,51,1,0,51,Animal Origin,Meat - Cattle & Wild,Beef
2009,macaroni salad,macaroni salad,1,Florida,12,15,0,0,15,Bakery,Pasta & Noodles,Pasta
