State,State Abbreviation,FIPS,2010,2011,2012,2013,2014
Alabama,AL,1,6.5,11.2,11.8,25.7,49.5
Alaska,AK,2,72.8,58.1,72.5,89.5,161.5
Arizona,AZ,4,50.1,43.4,76.9,66.1,32.1
Arkansas,AR,5,1.7,13.3,205.1,22,97.7
California,CA,6,29,31.2,21.5,28.3,22.4
Colorado,CO,8,103.4,86.1,100,56.3,49.3
Connecticut,CT,9,93.9,59.9,43.7,68.9,52.9
Delaware,DE,10,0,0,5.5,0,0
District of Columbia,DC,11,39.7,0,0,0,0
Florida,FL,12,41.1,21.1,39.3,16.5,59.3
Georgia,GA,13,19.5,67.9,10,39.6,42.4
Hawaii,HI,15,46.9,64.6,146.5,136.3,25.3
Idaho,ID,16,10.2,82.7,23.8,11.8,11.6
Illinois,IL,17,98.9,68.5,67.5,55.4,40.4
Indiana,IN,18,17.7,21.6,3.2,7,14.6
Iowa,IA,19,46.9,19.9,16.3,31.7,146.6
Kansas,KS,20,164.4,80.5,72.8,123,99.9
Kentucky,KY,21,11.7,25.9,15.7,4.5,5.2
Louisiana,LA,22,19.1,23.4,14.8,19.4,29.7
Maine,ME,23,41.4,32.4,12,0,8.3
Maryland,MD,24,31.1,66.2,31.1,38.4,75
Massachusetts,MA,25,31.7,48.2,33.9,54.6,57.1
Michigan,MI,26,29.2,45.5,89,35.4,73.7
Minnesota,MN,27,151.8,174.3,106.3,111.4,166.6
Mississippi,MS,28,13.1,61.1,0,1,6.7
Missouri,MO,29,67,23.8,12.9,14.9,34.3
Montana,MT,30,0,5,56.7,61.1,37.1
Nebraska,NE,31,12.6,19,39.3,55.6,40.4
Nevada,NV,32,3.7,12.1,26.1,154.1,20.4
New Hampshire,NH,33,13.7,83.4,45.4,52.9,23.3
New Jersey,NJ,34,18.5,18.4,21.4,8.1,20.1
New Mexico,NM,35,43.6,81.8,10.1,58.5,12.9
New York,NY,36,29.3,30.8,26.4,28.5,22.1
North Carolina,NC,37,60.3,12.1,37.3,24.3,12.9
North Dakota,ND,38,99.3,240.8,159.5,129.9,101.3
Ohio,OH,39,64,52.9,88.2,65.1,42.6
Oklahoma,OK,40,23.9,124.6,25.4,61.8,28.9
Oregon,OR,41,126.9,49.6,111.6,93.7,38.5
Pennsylvania,PA,42,18.2,53.7,41.4,32.9,13.9
Rhode Island,RI,44,51.3,232.9,50.4,64.6,97.6
South Carolina,SC,45,77.2,29.1,44.5,38.2,57.4
South Dakota,SD,46,6.1,6.1,127,67.4,0
Tennessee,TN,47,45.6,23.3,42.9,44,21.2
Texas,TX,48,8.6,8.2,20.1,14,6
Utah,UT,49,42.9,5,22.4,10.7,73.7
Vermont,VT,50,27.2,9.6,17.6,57.4,0
Virginia,VA,51,35.9,41.4,36.7,30.7,67.1
Washington,WA,53,40.9,52.6,69.2,47.8,55.9
West Virginia,WV,54,5.4,0,42,0,55.2
Wisconsin,WI,55,134.1,64.5,55.4,58.7,70.8
Wyoming,WY,56,58.5,112.7,552.8,48,10.3
