state,FIPS,year2,number
Alabama,1,2010,6
Alaska,2,2010,73
Arizona,4,2010,50
Arkansas,5,2010,2
California,6,2010,29
Colorado,8,2010,103
Connecticut,9,2010,94
Delaware,10,2010,0
District of Columbia,11,2010,40
Florida,12,2010,41
Georgia,13,2010,19
Hawaii,15,2010,47
Idaho,16,2010,10
Illinois,17,2010,99
Indiana,18,2010,18
Iowa,19,2010,47
Kansas,20,2010,164
Kentucky,21,2010,12
Louisiana,22,2010,19
Maine,23,2010,41
Maryland,24,2010,31
Massachusetts,25,2010,32
Michigan,26,2010,29
Minnesota,27,2010,152
Mississippi,28,2010,13
Missouri,29,2010,67
Montana,30,2010,0
Nebraska,31,2010,13
Nevada,32,2010,4
New Hampshire,33,2010,14
New Jersey,34,2010,19
New Mexico,35,2010,44
New York,36,2010,29
North Carolina,37,2010,60
North Dakota,38,2010,99
Ohio,39,2010,64
Oklahoma,40,2010,24
Oregon,41,2010,127
Pennsylvania,42,2010,18
Rhode Island,44,2010,51
South Carolina,45,2010,77
South Dakota,46,2010,6
Tennessee,47,2010,46
Texas,48,2010,9
Utah,49,2010,43
Vermont,50,2010,27
Virginia,51,2010,36
Washington,53,2010,41
West Virginia,54,2010,5
Wisconsin,55,2010,134
Wyoming,56,2010,58
Alabama,1,2011,11
Alaska,2,2011,58
Arizona,4,2011,43
Arkansas,5,2011,13
California,6,2011,31
Colorado,8,2011,86
Connecticut,9,2011,60
Delaware,10,2011,0
District of Columbia,11,2011,0
Florida,12,2011,21
Georgia,13,2011,68
Hawaii,15,2011,65
Idaho,16,2011,83
Illinois,17,2011,68
Indiana,18,2011,22
Iowa,19,2011,20
Kansas,20,2011,80
Kentucky,21,2011,26
Louisiana,22,2011,23
Maine,23,2011,32
Maryland,24,2011,66
Massachusetts,25,2011,48
Michigan,26,2011,45
Minnesota,27,2011,174
Mississippi,28,2011,61
Missouri,29,2011,24
Montana,30,2011,5
Nebraska,31,2011,19
Nevada,32,2011,12
New Hampshire,33,2011,83
New Jersey,34,2011,18
New Mexico,35,2011,82
New York,36,2011,31
North Carolina,37,2011,12
North Dakota,38,2011,241
Ohio,39,2011,53
Oklahoma,40,2011,125
Oregon,41,2011,50
Pennsylvania,42,2011,54
Rhode Island,44,2011,233
South Carolina,45,2011,29
South Dakota,46,2011,6
Tennessee,47,2011,23
Texas,48,2011,8
Utah,49,2011,5
Vermont,50,2011,10
Virginia,51,2011,41
Washington,53,2011,53
West Virginia,54,2011,0
Wisconsin,55,2011,64
Wyoming,56,2011,113
Alabama,1,2012,12
Alaska,2,2012,72
Arizona,4,2012,77
Arkansas,5,2012,205
California,6,2012,21
Colorado,8,2012,100
Connecticut,9,2012,44
Delaware,10,2012,5
District of Columbia,11,2012,0
Florida,12,2012,39
Georgia,13,2012,10
Hawaii,15,2012,146
Idaho,16,2012,24
Illinois,17,2012,67
Indiana,18,2012,3
Iowa,19,2012,16
Kansas,20,2012,73
Kentucky,21,2012,16
Louisiana,22,2012,15
Maine,23,2012,12
Maryland,24,2012,31
Massachusetts,25,2012,34
Michigan,26,2012,89
Minnesota,27,2012,106
Mississippi,28,2012,0
Missouri,29,2012,13
Montana,30,2012,57
Nebraska,31,2012,39
Nevada,32,2012,26
New Hampshire,33,2012,45
New Jersey,34,2012,21
New Mexico,35,2012,10
New York,36,2012,26
North Carolina,37,2012,37
North Dakota,38,2012,159
Ohio,39,2012,88
Oklahoma,40,2012,25
Oregon,41,2012,112
Pennsylvania,42,2012,41
Rhode Island,44,2012,50
South Carolina,45,2012,44
South Dakota,46,2012,127
Tennessee,47,2012,43
Texas,48,2012,20
Utah,49,2012,22
Vermont,50,2012,18
Virginia,51,2012,37
Washington,53,2012,69
West Virginia,54,2012,42
Wisconsin,55,2012,55
Wyoming,56,2012,553
Alabama,1,2013,26
Alaska,2,2013,89
Arizona,4,2013,66
Arkansas,5,2013,22
California,6,2013,28
Colorado,8,2013,56
Connecticut,9,2013,69
Delaware,10,2013,0
District of Columbia,11,2013,0
Florida,12,2013,16
Georgia,13,2013,40
Hawaii,15,2013,136
Idaho,16,2013,12
Illinois,17,2013,55
Indiana,18,2013,7
Iowa,19,2013,32
Kansas,20,2013,123
Kentucky,21,2013,5
Louisiana,22,2013,19
Maine,23,2013,0
Maryland,24,2013,38
Massachusetts,25,2013,55
Michigan,26,2013,35
Minnesota,27,2013,111
Mississippi,28,2013,1
Missouri,29,2013,15
Montana,30,2013,61
Nebraska,31,2013,56
Nevada,32,2013,154
New Hampshire,33,2013,53
