wordid,word,bincode,bin,rate,yvar
1,house,1,Very Often,759,3.1
2,book,1,Very Often,351,3.1
3,health,1,Very Often,299,3.1
4,hope,1,Very Often,280,3.1
5,support,1,Very Often,261,3.1
6,death,1,Very Often,225,3.1
7,car,1,Very Often,215,3.1
8,god,1,Very Often,206,3.1
9,television,1,Very Often,167,3.1
10,stand,1,Very Often,160,3.1
11,church,1,Very Often,117,3.1
12,road,1,Very Often,116,3.1
13,gun,1,Very Often,116,3.1
14,sit,1,Very Often,111,3.1
15,trouble,1,Very Often,111,3.1
16,key,1,Very Often,107,3.1
17,crisis,1,Very Often,104,3.1
18,fear,1,Frequently,99,2.1
19,fall,1,Frequently,99,2.1
20,respect,1,Frequently,92,2.1
21,hill,1,Frequently,90,2.1
22,star,1,Frequently,87,2.1
23,table,1,Frequently,86,2.1
24,plane,1,Frequently,86,2.1
25,land,1,Frequently,84,2.1
26,build,1,Frequently,79,2.1
27,increase,1,Frequently,78,2.1
28,jail,1,Frequently,76,2.1
29,success,1,Frequently,75,2.1
30,freedom,1,Frequently,73,2.1
31,floor,1,Frequently,72,2.1
32,mistake,1,Frequently,69,2.1
33,bomb,1,Frequently,62,2.1
34,earth,1,Frequently,60,2.1
35,grow,1,Frequently,58,2.1
36,bed,1,Frequently,58,2.1
37,danger,1,Frequently,53,2.1
38,upset,1,Frequently,52,2.1
39,sad,1,Frequently,50,2.1
40,hell,1,Sometimes,48,1.1
41,train,1,Sometimes,47,1.1
42,sea,1,Sometimes,46,1.1
43,drop,1,Sometimes,46,1.1
44,catch,1,Sometimes,44,1.1
45,window,1,Sometimes,43,1.1
46,dress,1,Sometimes,42,1.1
47,truck,1,Sometimes,40,1.1
48,anger,1,Sometimes,40,1.1
49,holiday,1,Sometimes,40,1.1
50,bus,1,Sometimes,40,1.1
51,wedding,1,Sometimes,38,1.1
52,birthday,1,Sometimes,38,1.1
53,smoke,1,Sometimes,37,1.1
54,foundation,1,Sometimes,37,1.1
55,fish,1,Sometimes,37,1.1
56,telephone,1,Sometimes,37,1.1
57,bear,1,Sometimes,36,1.1
58,penalty,1,Sometimes,36,1.1
59,sun,1,Sometimes,36,1.1
60,shoes,1,Sometimes,36,1.1
61,stone,1,Sometimes,36,1.1
62,bag,1,Sometimes,36,1.1
63,corner,1,Sometimes,36,1.1
64,lake,1,Sometimes,35,1.1
65,lay,1,Sometimes,35,1.1
66,stress,1,Sometimes,34,1.1
67,summit,1,Sometimes,34,1.1
68,evil,1,Sometimes,32,1.1
69,chair,1,Sometimes,32,1.1
70,mountain,1,Sometimes,31,1.1
71,poverty,1,Sometimes,30,1.1
72,tree,1,Sometimes,29,1.1
73,fill,1,Sometimes,29,1.1
74,bridge,1,Sometimes,28,1.1
75,chicken,1,Sometimes,27,1.1
76,flag,1,Sometimes,26,1.1
77,cable,1,Sometimes,26,1.1
78,hole,1,Sometimes,26,1.1
79,planet,1,Sometimes,25,1.1
80,passion,1,Sometimes,24,1.1
81,desire,1,Sometimes,24,1.1
82,horse,1,Sometimes,24,1.1
83,bell,1,Sometimes,24,1.1
84,funeral,1,Sometimes,24,1.1
85,pleased,1,Sometimes,24,1.1
86,valley,1,Sometimes,23,1.1
87,bird,1,Sometimes,23,1.1
88,talent,1,Sometimes,23,1.1
89,smile,1,Sometimes,23,1.1
90,bowl ,1,Sometimes,23,1.1
91,sky,1,Sometimes,22,1.1
92,dirty,1,Sometimes,22,1.1
93,moon,1,Sometimes,22,1.1
94,humor,1,Sometimes,22,1.1
95,cat,1,Sometimes,22,1.1
96,illness,1,Sometimes,21,1.1
97,helicopter,1,Sometimes,21,1.1
98,hat,1,Sometimes,21,1.1
99,lift,1,Sometimes,20,1.1
100,chain,1,Sometimes,20,1.1
101,ceiling,1,Sometimes,19,1.1
102,forest,1,Sometimes,19,1.1
103,satellite,1,Sometimes,19,1.1
104,heaven,1,Sometimes,19,1.1
105,wealth,1,Sometimes,19,1.1
106,roof,1,Sometimes,19,1.1
107,miracle,1,Sometimes,19,1.1
108,cap,1,Sometimes,18,1.1
109,kiss,1,Sometimes,18,1.1
110,comfort,1,Sometimes,18,1.1
111,injury,1,Sometimes,18,1.1
112,shirt,1,Sometimes,18,1.1
113,collapse,1,Sometimes,17,1.1
114,guilt,1,Sometimes,17,1.1
115,pride,1,Sometimes,17,1.1
116,expand,1,Sometimes,17,1.1
117,mirror,1,Sometimes,15,1.1
118,pants,1,Sometimes,15,1.1
119,underground,1,Sometimes,15,1.1
120,fence,1,Sometimes,15,1.1
121,cake,1,Sometimes,15,1.1
122,champion,1,Sometimes,15,1.1
123,bankruptcy,1,Sometimes,14,1.1
124,bread,1,Sometimes,14,1.1
125,sand,1,Sometimes,14,1.1
126,depressed,1,Sometimes,14,1.1
127,root,1,Sometimes,14,1.1
128,elephant,1,Sometimes,14,1.1
129,belt,1,Sometimes,14,1.1
130,corn,1,Sometimes,14,1.1
131,dig,1,Sometimes,13,1.1
132,dirt,1,Sometimes,13,1.1
133,spill,1,Sometimes,13,1.1
134,excitement,1,Sometimes,12,1.1
135,hug,1,Sometimes,12,1.1
136,devil,1,Sometimes,12,1.1
137,basement,1,Sometimes,12,1.1
138,rocket,1,Sometimes,12,1.1
139,shower,1,Sometimes,12,1.1
140,improvement,1,Sometimes,12,1.1
141,wheel,1,Sometimes,11,1.1
142,shadow,1,Sometimes,11,1.1
143,cloud,1,Sometimes,11,1.1
144,grass,1,Sometimes,11,1.1
145,climb,1,Sometimes,11,1.1
146,subway,1,Sometimes,10,1.1
147,height,1,Sometimes,10,1.1
148,slip,1,Sometimes,10,1.1
149,optimism,1,Sometimes,10,1.1
150,hood,1,Sometimes,10,1.1
151,hatred,1,Sometimes,10,1.1
152,tunnel,1,Sometimes,10,1.1
153,crown,1,Sometimes,10,1.1
154,sauce,1,Rare,9,0.1
155,mask,1,Rare,9,0.1
156,hunger,1,Rare,9,0.1
157,lightning,1,Rare,9,0.1
158,honesty,1,Rare,9,0.1
159,acceptance,1,Rare,8,0.1
160,pig,1,Rare,8,0.1
161,theft,1,Rare,8,0.1
162,lemon,1,Rare,8,0.1
163,potato,1,Rare,8,0.1
164,loyalty,1,Rare,8,0.1
165,disappointment,1,Rare,8,0.1
166,mouse,1,Rare,8,0.1
167,balloon,1,Rare,7,0.1
168,greed,1,Rare,7,0.1
169,grill,1,Rare,7,0.1
170,rail,1,Rare,7,0.1
171,pour,1,Rare,7,0.1
172,telescope,1,Rare,6,0.1
173,sheep,1,Rare,6,0.1
174,crush,1,Rare,6,0.1
175,dive,1,Rare,6,0.1
176,seed,1,Rare,6,0.1
177,whale,1,Rare,6,0.1
178,bug ,1,Rare,6,0.1
179,flower,1,Rare,6,0.1
180,starving,1,Rare,6,0.1
181,snake,1,Rare,6,0.1
182,decrease,1,Rare,6,0.1
183,sunset,1,Rare,6,0.1
184,castle,1,Rare,6,0.1
185,collar,1,Rare,6,0.1
186,coin,1,Rare,6,0.1
187,drain,1,Rare,5,0.1
188,eagle,1,Rare,5,0.1
189,bicycle,1,Rare,5,0.1
190,helmet,1,Rare,5,0.1
191,fireworks,1,Rare,5,0.1
192,stack,1,Rare,5,0.1
193,volcano,1,Rare,5,0.1
194,selfish,1,Rare,5,0.1
195,nest,1,Rare,5,0.1
196,excellence,1,Rare,4,0.1
197,leaf,1,Rare,4,0.1
198,umbrella,1,Rare,4,0.1
199,rug,1,Rare,4,0.1
200,pencil,1,Rare,4,0.1
201,float,1,Rare,4,0.1
